auroc,auprc,f1,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/clinical_train_ref,config/mrna_train_ref,config/mutation_train_ref,config/y_train_ref,config/clinical_val_ref,config/mrna_val_ref,config/mutation_val_ref,config/y_val_ref,config/seed,config/patience,config/num_epochs,config/fs_method,config/clin_hidden,config/mrna_hidden,config/mut_hidden,config/clin_dropout,config/mrna_dropout,config/mut_dropout,config/fusion_hidden,config/fusion_dropout,config/lr,config/activation,config/max_mutation_count,config/mutation_uniform_thresh,config/optimizer,config/weight_decay,config/momentum,config/nesterov,config/rmsprop_alpha,config/fs_C,config/fs_penalty,config/fs_threshold,config/fs_max_features,logdir
0.8083333333333333,0.7444117024280068,0.6956521739130435,255,1765233261,,False,256,ba3a2_00000,2025-12-08_17-34-21,0.3724186420440674,127.01700615882874,1132778,gpu2001.oscar.ccv.brown.edu,172.20.216.1,127.01700615882874,256,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,"[128, 64]","[128, 64, 32]","[64, 32]","[0.0, 0.0]","[0.0, 0.0]","[0.3, 0.3]",128,0.07799726016810132,1.4936568554617619e-05,silu,5,0.9541003510568888,RMSprop,0.00040137830238462545,0.810718200015149,False,0.9824118214392418,0.0070689749506246055,l2,mean,,ba3a2_00000
0.8166666666666667,0.7029547535797536,0.7857142857142857,113,1765233328,,False,114,ba3a2_00001,2025-12-08_17-35-28,0.3875107765197754,60.292553186416626,1930242,gpu2001.oscar.ccv.brown.edu,172.20.216.1,60.292553186416626,114,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,"[64, 32, 16]","[256, 128]",[64],"[0.0, 0.0]","[0.3, 0.3]","[0.3, 0.3]",256,0.06974693032602092,7.52374288453485e-05,silu,15,0.9410462985795333,SGD,0.00029753909473493906,0.8726677783407609,False,0.9586490423173422,0.0015339162591163618,l1,0.5*mean,,ba3a2_00001
0.8083333333333333,0.71568605006105,0.7857142857142857,19,1765233366,,True,20,ba3a2_00002,2025-12-08_17-36-06,0.3627431392669678,32.22287583351135,2336631,gpu2001.oscar.ccv.brown.edu,172.20.216.1,32.22287583351135,20,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,[128],"[256, 128]",[64],"[0.2, 0.2]","[0.2, 0.2]","[0.2, 0.2]",64,0.007983126110107097,4.9281222976954986e-05,silu,15,0.9614937166942913,RMSprop,9.565499215943819e-05,0.8065338190118916,False,0.9387150001497508,0.005357280069601832,l2,median,100.0,ba3a2_00002
0.7083333333333334,0.6646125116713352,0.5,9,1765233440,,True,10,ba3a2_00003,2025-12-08_17-37-20,0.3510866165161133,66.56467509269714,2567832,gpu2001.oscar.ccv.brown.edu,172.20.216.1,66.56467509269714,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,[128],"[256, 128]","[64, 32, 16]","[0.3, 0.3]","[0.2, 0.2]","[0.2, 0.2]",128,0.1975751180009072,0.006025271171095384,gelu,20,0.9293886691925252,AdamW,6.080390190296603e-06,0.8085931848930022,False,0.983608851019137,0.9756194291174574,l1,mean,500.0,ba3a2_00003
0.7375,0.5578274265580767,0.7096774193548387,9,1765233516,,True,10,ba3a2_00004,2025-12-08_17-38-36,0.35718703269958496,69.7347481250763,2984606,gpu2001.oscar.ccv.brown.edu,172.20.216.1,69.7347481250763,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,"[128, 64]","[256, 128]","[128, 64]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",256,0.08263346953150125,1.114061638997369e-05,leaky_relu,20,0.9355393366358012,RMSprop,1.0521761868451139e-06,0.9549376714064185,True,0.9704228533221163,1.4477786306928666,l1,mean,100.0,ba3a2_00004
0.7375,0.6353420501640316,0.7272727272727273,79,1765233611,,True,80,ba3a2_00005,2025-12-08_17-40-11,0.349102258682251,88.24012422561646,3417445,gpu2001.oscar.ccv.brown.edu,172.20.216.1,88.24012422561646,80,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,[64],"[256, 128]",[64],"[0.2, 0.2]","[0.0, 0.0]","[0.3, 0.3]",256,0.33442062633180364,0.0009948716832761022,silu,20,0.9247249613691058,SGD,7.742116473996259e-05,0.8227229067282774,False,0.9840424686023423,0.7707580772445937,l1,0.5*mean,100.0,ba3a2_00005
0.8333333333333333,0.7304842148592148,0.7857142857142857,19,1765233680,,True,20,ba3a2_00006,2025-12-08_17-41-20,0.3459646701812744,62.32368278503418,3981398,gpu2001.oscar.ccv.brown.edu,172.20.216.1,62.32368278503418,20,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,[64],[128],[128],"[0.0, 0.0]","[0.3, 0.3]","[0.3, 0.3]",256,0.23768511159105588,0.0004895834359555104,silu,10,0.9125398308965288,SGD,4.3805807679056575e-05,0.9435547163231792,False,0.9933425034852401,0.24857752864592075,l1,median,500.0,ba3a2_00006
0.75,0.5777976190476191,0.6666666666666666,9,1765233724,,True,10,ba3a2_00007,2025-12-08_17-42-04,0.3835127353668213,37.309805393218994,195216,gpu2001.oscar.ccv.brown.edu,172.20.216.1,37.309805393218994,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,"[64, 32, 16]",[64],"[64, 32, 16]","[0.2, 0.2]","[0.2, 0.2]","[0.2, 0.2]",256,0.16217251050263698,2.324148449297575e-05,leaky_relu,15,0.9816145597391178,Adam,8.160948743089919e-06,0.8811504798389888,False,0.9349043167770827,0.016562467254117346,l2,0.5*mean,,ba3a2_00007
0.5708333333333333,0.4014720477514091,0.6285714285714286,9,1765233762,,True,10,ba3a2_00008,2025-12-08_17-42-42,0.3604416847229004,31.473352909088135,427610,gpu2001.oscar.ccv.brown.edu,172.20.216.1,31.473352909088135,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,[64],"[128, 64]",[128],"[0.3, 0.3]","[0.3, 0.3]","[0.2, 0.2]",64,0.2019180855290204,1.5655853232456824e-05,relu,20,0.9222188456554741,SGD,9.749762207436124e-05,0.8571668788651863,True,0.9987763080198453,0.011671429662074235,l2,median,500.0,ba3a2_00008
0.7125,0.5881919737882382,0.6666666666666666,19,1765233832,,True,20,ba3a2_00009,2025-12-08_17-43-52,0.34670209884643555,63.130521297454834,658613,gpu2001.oscar.ccv.brown.edu,172.20.216.1,63.130521297454834,20,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,LogisticRegression,"[64, 32, 16]",[64],[64],"[0.3, 0.3]","[0.2, 0.2]","[0.2, 0.2]",64,0.2447263801387815,0.009056311714376347,silu,15,0.9604921992665291,SGD,3.0103557686746314e-05,0.8460103882727109,False,0.936410530139206,0.3382387201936217,l2,median,200.0,ba3a2_00009
