Modality,AUROC,F1,AUPRC
Clinical,0.7472902448815737,0.5925925925925926,0.562737226645205
mRNA,0.9662786029706945,0.8521739130434782,0.950527837087715
Mutation,0.9712966680048173,0.2903225806451613,0.9721615747210068
