Modality,AUROC,F1,AUPRC
Clinical,0.9625,0.9565217391304348,0.9642857142857142
mRNA,0.8083333333333333,0.7333333333333333,0.6116397004554899
Mutation,0.8708333333333333,0.7741935483870968,0.7472202021834374
