auroc,auprc,f1,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/clinical_train_ref,config/mrna_train_ref,config/mutation_train_ref,config/y_train_ref,config/clinical_val_ref,config/mrna_val_ref,config/mutation_val_ref,config/y_val_ref,config/seed,config/patience,config/num_epochs,config/fs_method,config/clin_hidden,config/mrna_hidden,config/mut_hidden,config/clin_dropout,config/mrna_dropout,config/mut_dropout,config/fusion_hidden,config/fusion_dropout,config/lr,config/activation,config/max_mutation_count,config/mutation_uniform_thresh,config/optimizer,config/weight_decay,config/momentum,config/nesterov,config/rmsprop_alpha,config/fs_learning_rate,config/fs_max_depth,config/fs_n_estimators,config/fs_threshold,config/fs_max_features,logdir
0.7791666666666667,0.8100684641445511,0.72,19,1765249029,,True,20,5a0af_00010,2025-12-08_21-57-09,0.33904361724853516,123.42632055282593,3533953,gpu2003.oscar.ccv.brown.edu,172.20.216.3,123.42632055282593,20,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,"[128, 64]","[256, 128]","[64, 32]","[0.3, 0.3]","[0.2, 0.2]","[0.3, 0.3]",256,0.11324788759896898,0.0008620220426018044,silu,5,0.9621843964292219,RMSprop,0.00011776206216380241,0.9591649201223923,True,0.9337655687539756,0.01471005003927122,7,200,median,100.0,5a0af_00010
0.7999999999999999,0.7512127857522595,0.7142857142857143,19,1765249089,,True,20,5a0af_00011,2025-12-08_21-58-09,0.3360621929168701,50.31593942642212,3535101,gpu2003.oscar.ccv.brown.edu,172.20.216.3,50.31593942642212,20,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,"[128, 64]",[128],[64],"[0.0, 0.0]","[0.2, 0.2]","[0.0, 0.0]",128,0.4486078789766634,0.005026366723161422,gelu,15,0.9305126811943831,SGD,0.0006330402436741777,0.9608656170252781,False,0.9878215560022466,0.1418961933595484,9,200,mean,500.0,5a0af_00011
0.8333333333333334,0.7460720931115669,0.7142857142857143,19,1765249155,,True,20,5a0af_00012,2025-12-08_21-59-15,0.34150052070617676,55.92792248725891,3535590,gpu2003.oscar.ccv.brown.edu,172.20.216.3,55.92792248725891,20,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,"[128, 64]","[128, 64]",[64],"[0.3, 0.3]","[0.0, 0.0]","[0.0, 0.0]",128,0.08040402570874933,0.00044279363365000874,relu,15,0.9586765133552341,Adam,5.054765477258726e-06,0.803434319086949,False,0.9322145701177675,0.12666549392400606,9,200,0.5*mean,,5a0af_00012
0.7875,0.7950791024213678,0.625,19,1765249201,,True,20,5a0af_00013,2025-12-08_22-00-01,0.3310084342956543,37.437121868133545,3536126,gpu2003.oscar.ccv.brown.edu,172.20.216.3,37.437121868133545,20,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,"[128, 64]","[128, 64]","[64, 32]","[0.2, 0.2]","[0.3, 0.3]","[0.2, 0.2]",128,0.29493542378027193,0.008643279852325391,gelu,10,0.9815488908946699,SGD,0.0015109330261674466,0.8955010476899865,False,0.9662234819066469,0.18900803977254152,9,50,0.5*mean,500.0,5a0af_00013
0.7541666666666667,0.7427111448493027,0.6470588235294118,9,1765249304,,True,10,5a0af_00014,2025-12-08_22-01-44,0.33768248558044434,93.82714486122131,3536532,gpu2003.oscar.ccv.brown.edu,172.20.216.3,93.82714486122131,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,[64],[64],"[128, 64]","[0.2, 0.2]","[0.0, 0.0]","[0.2, 0.2]",64,0.4417470111331295,0.0017504766488065076,leaky_relu,20,0.9297675274203463,AdamW,0.007355619850853313,0.983087795646958,True,0.9074592793446067,0.028284699212698362,9,200,mean,500.0,5a0af_00014
0.8333333333333333,0.8052353011911835,0.7586206896551724,231,1765249437,,False,232,5a0af_00015,2025-12-08_22-03-57,0.34252309799194336,122.84225130081177,3537390,gpu2003.oscar.ccv.brown.edu,172.20.216.3,122.84225130081177,232,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,[128],[64],[128],"[0.3, 0.3]","[0.2, 0.2]","[0.2, 0.2]",256,0.2850305850446825,1.9567235921447333e-05,silu,15,0.9891048465093837,AdamW,1.0390934238117943e-05,0.8561052117995984,False,0.9733360931576662,0.10704755834674412,7,100,0.5*mean,,5a0af_00015
0.8125,0.7842791005291005,0.6896551724137931,9,1765249570,,True,10,5a0af_00016,2025-12-08_22-06-10,0.3342161178588867,122.44458341598511,3537822,gpu2003.oscar.ccv.brown.edu,172.20.216.3,122.44458341598511,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,[128],"[128, 64]",[128],"[0.0, 0.0]","[0.0, 0.0]","[0.2, 0.2]",256,0.2507581473435998,0.002482478734421258,leaky_relu,20,0.9631770189531933,RMSprop,1.5961515506355331e-06,0.9684572583006253,True,0.9371827123113545,0.01376647406416251,7,200,median,200.0,5a0af_00016
0.8416666666666667,0.7455118955118956,0.8,39,1765249699,,True,40,5a0af_00017,2025-12-08_22-08-19,0.3287804126739502,119.40364980697632,3538272,gpu2003.oscar.ccv.brown.edu,172.20.216.3,119.40364980697632,40,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,"[64, 32, 16]",[128],[128],"[0.2, 0.2]","[0.0, 0.0]","[0.2, 0.2]",128,0.1516327573366114,0.0004085519442448727,leaky_relu,5,0.974508210340883,RMSprop,7.299348683062316e-06,0.91834919040561,False,0.9833602844261862,0.019369699345956514,5,200,0.5*mean,200.0,5a0af_00017
0.7999999999999999,0.6476138444888444,0.7586206896551724,9,1765249753,,True,10,5a0af_00018,2025-12-08_22-09-13,0.3360331058502197,44.0249297618866,3538725,gpu2003.oscar.ccv.brown.edu,172.20.216.3,44.0249297618866,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,"[64, 32, 16]",[128],"[128, 64]","[0.2, 0.2]","[0.2, 0.2]","[0.3, 0.3]",64,0.19941045072239727,0.00019978469397847028,relu,15,0.9225774474611995,AdamW,0.007089141723796889,0.9588362228973191,True,0.9681614901757712,0.012188745154968926,5,50,0.5*mean,100.0,5a0af_00018
0.825,0.7095667064417064,0.7857142857142857,19,1765249837,,True,20,5a0af_00019,2025-12-08_22-10-37,0.334611177444458,75.26528239250183,3538986,gpu2003.oscar.ccv.brown.edu,172.20.216.3,75.26528239250183,20,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000009e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ae1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000be1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ce1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000de1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000ee1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff010000000fe1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000010e1f505),42,100,1000,XGBoost,[64],"[128, 64, 32]","[64, 32, 16]","[0.0, 0.0]","[0.0, 0.0]","[0.3, 0.3]",256,0.21783644933894553,0.0015492373178855863,gelu,20,0.9509433489444669,SGD,0.0010749405395173415,0.8027347628396536,False,0.9090881075155308,0.013774672708776458,5,100,median,500.0,5a0af_00019
