auroc,auprc,f1,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/clinical_train_ref,config/mrna_train_ref,config/mutation_train_ref,config/y_train_ref,config/seed,config/patience,config/num_epochs,config/n_folds,config/fs_method,config/clin_hidden,config/mrna_hidden,config/mut_hidden,config/clin_dropout,config/mrna_dropout,config/mut_dropout,config/fusion_hidden,config/fusion_dropout,config/lr,config/activation,config/max_mutation_count,config/mutation_uniform_thresh,config/optimizer,config/weight_decay,config/momentum,config/nesterov,config/rmsprop_alpha,logdir
0.6980648319934034,0.6169003869091402,0.6380718954248367,1000,1765489496,,False,1,1e2cc_00013,2025-12-11_16-44-56,162.4884011745453,162.4884011745453,1736247,gpu2004.oscar.ccv.brown.edu,172.20.216.4,162.4884011745453,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[128, 64]",[128],[64],[0.0],[0.2],[0.0],128,0.4486078789766634,0.005026366723161422,gelu,15,0.9305126811943831,SGD,0.0006330402436741777,0.9608656170252781,False,0.9878215560022466,1e2cc_00013
0.7173134405277262,0.5960634406163845,0.4448448448448448,1000,1765489706,,False,1,1e2cc_00014,2025-12-11_16-48-26,203.59329199790955,203.59329199790955,2183158,gpu2004.oscar.ccv.brown.edu,172.20.216.4,203.59329199790955,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[128, 64]","[128, 64]",[64],[0.2],[0.2],[0.3],128,0.4700667212288892,0.008336648876997914,relu,20,0.9274827474309955,AdamW,0.0005855726588796257,0.9238726393054941,True,0.9174166000150572,1e2cc_00014
0.6990826633683778,0.5925321062271293,0.6299328384588194,1000,1765489928,,False,1,1e2cc_00015,2025-12-11_16-52-08,215.15985822677612,215.15985822677612,2703108,gpu2004.oscar.ccv.brown.edu,172.20.216.4,215.15985822677612,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[64, 32, 16]","[256, 128]","[64, 32]",[0.0],[0.0],[0.3],256,0.3181663090929477,5.641381315708954e-05,relu,10,0.9881003572447508,SGD,0.0036998679204890915,0.91991633893948,False,0.9346577623617729,1e2cc_00015
0.7210368996083282,0.592523639231401,0.668119460075766,1000,1765490100,,False,1,1e2cc_00016,2025-12-11_16-55-00,164.9975037574768,164.9975037574768,3246625,gpu2004.oscar.ccv.brown.edu,172.20.216.4,164.9975037574768,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,[64],"[128, 64, 32]","[128, 64]",[0.0],[0.3],[0.3],64,0.021801885877216876,0.009630559802166866,relu,5,0.9251604307617083,AdamW,3.0243691612726458e-05,0.8029367571404848,False,0.9327442801623809,1e2cc_00016
0.7109230055658626,0.6298944670331853,0.6191950464396285,1000,1765490281,,False,1,1e2cc_00017,2025-12-11_16-58-01,174.0644040107727,174.0644040107727,3722132,gpu2004.oscar.ccv.brown.edu,172.20.216.4,174.0644040107727,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[64, 32]","[256, 128]",[64],[0.3],[0.0],[0.0],256,0.1342374284450784,0.00028565354812055705,relu,5,0.9355222320128525,AdamW,0.0006083019192425828,0.9083116223169794,False,0.9206829530439207,1e2cc_00017
0.6759173366316223,0.5623343289816022,0.6181781781781782,1000,1765490449,,False,1,1e2cc_00018,2025-12-11_17-00-49,161.59984588623047,161.59984588623047,17705,gpu2004.oscar.ccv.brown.edu,172.20.216.4,161.59984588623047,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,[128],"[128, 64]",[128],[0.2],[0.2],[0.0],64,0.06831066572101441,0.0013388532918490177,gelu,5,0.9266859129283018,AdamW,0.0017396167422846992,0.9647437405302197,True,0.9080778238596238,1e2cc_00018
0.7150458668315811,0.5988397709038367,0.657916157916158,1000,1765490629,,False,1,1e2cc_00019,2025-12-11_17-03-49,173.52154207229614,173.52154207229614,482904,gpu2004.oscar.ccv.brown.edu,172.20.216.4,173.52154207229614,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[128, 64]","[128, 64, 32]","[128, 64]",[0.0],[0.2],[0.2],256,0.1689975784257679,0.00013389022084892932,relu,20,0.9520452126896557,AdamW,2.0540483864708347e-05,0.8294579071782714,False,0.9283675839607002,1e2cc_00019
0.7226345083487941,0.5858451306349346,0.6331409331409331,1000,1765490823,,False,1,1e2cc_00020,2025-12-11_17-07-03,187.02963829040527,187.02963829040527,998082,gpu2004.oscar.ccv.brown.edu,172.20.216.4,187.02963829040527,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,[64],"[256, 128]",[128],[0.2],[0.3],[0.2],256,0.06353025632594239,0.00036874809057925315,leaky_relu,20,0.9194238924747159,Adam,6.746222278126141e-05,0.9599843842522765,False,0.9526041085252467,1e2cc_00020
0.7079081632653063,0.5474417693912267,0.6558857808857809,1000,1765491023,,False,1,1e2cc_00021,2025-12-11_17-10-23,194.6660144329071,194.6660144329071,1560291,gpu2004.oscar.ccv.brown.edu,172.20.216.4,194.6660144329071,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[128, 64]","[128, 64, 32]",[128],[0.2],[0.2],[0.3],64,0.19941045072239727,0.00019978469397847028,relu,15,0.9225774474611995,AdamW,0.007089141723796889,0.9588362228973191,True,0.9681614901757712,1e2cc_00021
0.7053829107400537,0.5762550706734074,0.6666666666666666,1000,1765491194,,False,1,1e2cc_00022,2025-12-11_17-13-14,164.35004425048828,164.35004425048828,2139702,gpu2004.oscar.ccv.brown.edu,172.20.216.4,164.35004425048828,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,[128],[64],[128],[0.2],[0.2],[0.0],64,0.13996694847297142,0.007321428778380785,gelu,20,0.949891864726026,AdamW,0.000832065023039555,0.8090660642614134,False,0.9352412951864749,1e2cc_00022
0.7133967223252938,0.618639785966717,0.6486068273302316,1000,1765491407,,False,1,1e2cc_00023,2025-12-11_17-16-47,205.777907371521,205.777907371521,2623377,gpu2004.oscar.ccv.brown.edu,172.20.216.4,205.777907371521,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,[64],"[128, 64, 32]","[128, 64]",[0.0],[0.3],[0.0],128,0.4277302920055036,0.0012911407200549914,silu,20,0.9088050744585902,RMSprop,0.0016890865675126638,0.8657978210069862,False,0.9429513132745594,1e2cc_00023
0.698502886002886,0.5903139797634295,0.6400794734128068,1000,1765491582,,False,1,1e2cc_00024,2025-12-11_17-19-42,168.3760862350464,168.3760862350464,3250401,gpu2004.oscar.ccv.brown.edu,172.20.216.4,168.3760862350464,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,[128],"[128, 64, 32]","[128, 64]",[0.2],[0.3],[0.2],128,0.4667181540397415,0.0003185074915514652,silu,5,0.9615567392458327,RMSprop,1.915468390724634e-06,0.9220596628591999,True,0.9858526944219453,1e2cc_00024
0.6675943104514533,0.5725223646755676,0.5878875968992249,1000,1765491760,,False,1,1e2cc_00025,2025-12-11_17-22-40,170.80410957336426,170.80410957336426,3774160,gpu2004.oscar.ccv.brown.edu,172.20.216.4,170.80410957336426,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[128, 64]","[256, 128]",[128],[0.3],[0.0],[0.0],64,0.27280839465796747,0.006674126383295356,gelu,5,0.9865071507441523,AdamW,6.71023051289303e-06,0.8520526141910154,False,0.9099770221363652,1e2cc_00025
0.6731472892187179,0.5789448899973971,0.596947979133148,1000,1765492008,,False,1,1e2cc_00026,2025-12-11_17-26-48,241.87627148628235,241.87627148628235,67162,gpu2004.oscar.ccv.brown.edu,172.20.216.4,241.87627148628235,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[64, 32]",[128],"[64, 32]",[0.3],[0.0],[0.2],64,0.4224376554847273,1.1743993635378154e-05,relu,15,0.925366929729606,RMSprop,0.0005909645567877675,0.8661839548461076,True,0.9868697293391783,1e2cc_00026
0.7064265099979385,0.5623814564533197,0.6377696377696377,1000,1765492276,,False,1,1e2cc_00027,2025-12-11_17-31-16,260.86678075790405,260.86678075790405,766836,gpu2004.oscar.ccv.brown.edu,172.20.216.4,260.86678075790405,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[64, 32, 16]","[128, 64, 32]",[64],[0.2],[0.0],[0.0],256,0.49525257100033665,0.00017292310724138045,relu,5,0.9698771664667797,RMSprop,0.002940806359290872,0.906754671507317,False,0.9424704087101268,1e2cc_00027
0.7371418264275406,0.596317244479538,0.6676236044657097,1000,1765492500,,False,1,1e2cc_00028,2025-12-11_17-35-00,216.31427717208862,216.31427717208862,1534805,gpu2004.oscar.ccv.brown.edu,172.20.216.4,216.31427717208862,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,[64],"[128, 64]",[64],[0.2],[0.0],[0.0],128,0.24828059534153885,0.00014752113960427672,leaky_relu,15,0.9089986398445677,RMSprop,1.104970302415414e-06,0.9720225755196601,False,0.9351356138558093,1e2cc_00028
0.6904117707689136,0.569393850241397,0.662903762903763,1000,1765492719,,False,1,1e2cc_00029,2025-12-11_17-38-39,212.3479151725769,212.3479151725769,2156723,gpu2004.oscar.ccv.brown.edu,172.20.216.4,212.3479151725769,1,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),42,100,1000,3,NoFeatureSelection,"[128, 64]","[128, 64]",[128],[0.3],[0.0],[0.0],256,0.3012204629505595,0.00045825705211138113,leaky_relu,20,0.9851575088593522,RMSprop,0.0014403650379563883,0.8173291595792512,False,0.9964505726449067,1e2cc_00029
