auroc,auprc,f1,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/clinical_train_ref,config/mrna_train_ref,config/mutation_train_ref,config/y_train_ref,config/clinical_val_ref,config/mrna_val_ref,config/mutation_val_ref,config/y_val_ref,config/seed,config/patience,config/num_epochs,config/fs_method,config/clin_hidden,config/mrna_hidden,config/mut_hidden,config/clin_dropout,config/mrna_dropout,config/mut_dropout,config/fusion_hidden,config/fusion_dropout,config/lr,config/activation,config/max_mutation_count,config/mutation_uniform_thresh,config/optimizer,config/weight_decay,config/momentum,config/nesterov,config/rmsprop_alpha,config/fs_n_estimators,config/fs_max_depth,config/fs_threshold,config/fs_max_features,logdir
0.7958333333333333,0.7316750311235605,0.7333333333333333,152,1765226296,,False,153,a2f67_00000,2025-12-08_15-38-16,0.3659956455230713,73.981454372406,2448236,gpu2001.oscar.ccv.brown.edu,172.20.216.1,73.981454372406,153,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000005e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000006e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000007e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000008e1f505),42,100,1000,RandomForest,"[128, 64]","[128, 64, 32]","[64, 32]","[0.0, 0.0]","[0.0, 0.0]","[0.3, 0.3]",128,0.07799726016810132,1.4936568554617619e-05,silu,5,0.9541003510568888,RMSprop,0.00040137830238462545,0.810718200015149,False,0.9824118214392418,100,5.0,mean,,a2f67_00000
0.5708333333333334,0.5646182232957595,0.5833333333333334,9,1765226330,,True,10,a2f67_00001,2025-12-08_15-38-50,0.4433445930480957,26.51371717453003,2915617,gpu2001.oscar.ccv.brown.edu,172.20.216.1,26.51371717453003,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000005e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000006e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000007e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000008e1f505),42,100,1000,RandomForest,"[64, 32, 16]","[256, 128]",[64],"[0.0, 0.0]","[0.3, 0.3]","[0.3, 0.3]",256,0.06974693032602092,7.52374288453485e-05,silu,15,0.9410462985795333,SGD,0.00029753909473493906,0.8726677783407609,False,0.9586490423173422,200,,0.5*mean,200.0,a2f67_00001
0.8458333333333333,0.7891067538126362,0.75,273,1765226721,,False,274,a2f67_00002,2025-12-08_15-45-21,0.40731358528137207,345.79898476600647,3112877,gpu2001.oscar.ccv.brown.edu,172.20.216.1,345.79898476600647,274,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000005e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000006e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000007e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000008e1f505),42,100,1000,RandomForest,[128],"[256, 128]",[64],"[0.2, 0.2]","[0.2, 0.2]","[0.2, 0.2]",64,0.007983126110107097,4.9281222976954986e-05,silu,15,0.9614937166942913,RMSprop,9.565499215943819e-05,0.8065338190118916,False,0.9387150001497508,100,20.0,median,100.0,a2f67_00002
0.75,0.704432137945069,0.6666666666666666,9,1765226866,,True,10,a2f67_00003,2025-12-08_15-47-46,0.43308377265930176,101.24278378486633,1204043,gpu2001.oscar.ccv.brown.edu,172.20.216.1,101.24278378486633,10,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000005e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000006e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000007e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000008e1f505),42,100,1000,RandomForest,[128],"[256, 128]","[64, 32, 16]","[0.3, 0.3]","[0.2, 0.2]","[0.2, 0.2]",128,0.1975751180009072,0.006025271171095384,gelu,20,0.9293886691925252,AdamW,6.080390190296603e-06,0.8085931848930022,False,0.983608851019137,50,5.0,0.5*mean,,a2f67_00003
0.8541666666666666,0.6900380869130869,0.8,39,1765227047,,True,40,a2f67_00004,2025-12-08_15-50-47,1.0084869861602783,163.70001006126404,1971954,gpu2001.oscar.ccv.brown.edu,172.20.216.1,163.70001006126404,40,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000005e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000006e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000007e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000008e1f505),42,100,1000,RandomForest,[64],"[256, 128]","[128, 64]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",256,0.08263346953150125,1.114061638997369e-05,leaky_relu,20,0.9355393366358012,RMSprop,1.0521761868451139e-06,0.9549376714064185,True,0.9704228533221163,200,,0.5*mean,,a2f67_00004
0.85,0.7689224664224663,0.8148148148148148,4,1765227199,,False,5,a2f67_00005,2025-12-08_15-53-19,0.4287548065185547,109.68023324012756,3051065,gpu2001.oscar.ccv.brown.edu,172.20.216.1,109.68023324012756,5,ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000001e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000002e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000003e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000004e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000005e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000006e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000007e1f505),ObjectRef(00ffffffffffffffffffffffffffffffffffffff0100000008e1f505),42,100,1000,RandomForest,[128],[64],"[128, 64]","[0.3, 0.3]","[0.0, 0.0]","[0.2, 0.2]",64,0.03177917514301182,8.569331925053982e-05,silu,5,0.9656645560504258,RMSprop,1.2557036943140694e-05,0.9066362509110633,True,0.9118398303478918,100,10.0,mean,,a2f67_00005
